n13	n49	30.0	40	1.27	24
n13	n212	30.7	75	1.66	23
n13	n108	26.8	97	1.66	23
n13	n161	21.6	269	1.66	23
n13	n17	22.8	145	1.66	23
n13	n164	22.3	269	1.66	23
n13	n35	30.1	93	2.17	23
n13	n109	26.3	99	3.7	22
n13	n124	32.4	34	3.7	22
n13	n114	24.8	117	4.83	22
n13	n189	22.4	98	4.83	22
n13	n180	20.7	242	4.83	22
n13	n118	28.6	56	6.31	22
n13	n107	41.7	24	6.31	22
n13	n122	27.4	62	6.31	22
n13	n123	25.0	32	10.8	21
n13	n106	22.1	199	10.8	21
n13	n165	21.7	138	10.8	21
n13	n91	32.4	37	10.8	21
n13	n162	21.7	138	10.8	21
n13	n113	20.4	108	10.8	21
n13	n96	19.9	251	10.8	21
n13	n126	22.9	140	14	20
n13	n163	42.3	26	14	20
n13	n206	23.4	111	18.3	20
n13	n93	26.6	64	18.3	20
n13	n115	38.1	21	24	20
n13	n116	38.1	21	24	20
n13	n134	26.4	53	24	20
n13	n194	21.6	139	24	20
n13	n158	25.0	60	24	20
n13	n102	24.3	140	24	20
n13	n163	28.6	28	24	20
n13	n187	23.1	160	24	20
n13	n117	24.7	93	31.3	19
n13	n165	43.3	30	31.3	19
n13	n112	27.4	62	31.3	19
n13	n200	25.6	78	31.3	19
n13	n136	33.3	39	31.3	19
n13	n197	23.0	139	31.3	19
n13	n81	23.2	151	40.9	19
n13	n67	34.0	47	40.9	19
n13	n188	23.1	160	40.9	19
n13	n161	44.4	18	40.9	19
n13	n201	22.4	170	40.9	19
n13	n164	44.4	18	40.9	19
n13	n197	20.5	117	53.4	18
n13	n131	28.6	56	53.4	18
n13	n102	26.8	56	53.4	18
n13	n42	46.7	15	53.4	18
n13	n130	30.6	49	53.4	18
n13	n110	41.2	17	69.7	18
n13	n170	22.1	190	69.7	18
n13	n99	22.1	136	69.7	18
n13	n177	24.2	62	69.7	18
n13	n168	75.0	8	69.7	18
n13	n193	27.4	62	69.7	18
n13	n186	27.4	62	69.7	18
n13	n82	87.5	8	69.7	18
n13	n196	28.3	46	91	18
n13	n190	24.7	89	91	18
n13	n192	28.6	28	91	18
n13	n191	29.0	31	91	18
n13	n142	20.9	134	91	18
n13	n191	28.2	39	91	18
n13	n61	39.3	28	91	18
n13	n127	30.4	46	119	17
n13	n196	26.1	69	119	17
n13	n129	50.0	14	119	17
n13	n213	25.3	79	119	17
n13	n24	29.7	37	119	17
n13	n99	34.4	32	119	17
n13	n204	36.4	22	119	17
n13	n93	20.6	126	119	17
n13	n213	23.8	42	155	17
n13	n98	41.7	24	155	17
n13	n144	20.1	134	155	17
n13	n158	46.2	26	155	17
n13	n175	43.8	16	155	17
n13	n17	23.7	59	155	17
n13	n124	41.2	17	155	17
n13	n163	27.9	43	155	17
n13	n127	50.0	12	155	17
n13	n189	21.3	61	155	17
n13	n205	27.3	44	155	17
n13	n112	23.8	126	155	17
n13	n197	23.5	51	203	17
n13	n179	34.0	47	203	17
n13	n176	25.0	68	203	17
n13	n40	50.0	12	203	17
n13	n101	34.5	29	203	17
n13	n174	42.1	19	203	17
n13	n192	29.3	58	203	17
n13	n178	34.0	47	203	17
n13	n180	33.3	33	203	17
n13	n176	50.0	14	203	17
n13	n126	27.7	47	203	17
n13	n149	25.5	47	265	16
n13	n60	25.8	31	265	16
n13	n107	27.8	36	265	16
n13	n183	27.5	69	346	16
n13	n205	55.6	9	346	16
n13	n149	18.8	48	346	16
n13	n65	22.2	54	346	16
n13	n204	42.9	21	346	16
n13	n171	36.0	25	346	16
n13	n98	21.7	60	346	16
n13	n191	28.3	46	346	16
n13	n178	30.8	13	346	16
n13	n183	21.4	28	346	16
n13	n188	60.0	10	452	15
n13	n169	40.0	15	452	15
n13	n82	25.0	60	452	15
n13	n187	60.0	10	452	15
n13	n110	33.3	15	452	15
n13	n204	33.3	33	452	15
n13	n141	33.3	15	452	15
n13	n141	83.3	6	452	15
n13	n193	55.6	9	452	15
n13	n186	55.6	9	452	15
n13	n3	50.0	12	452	15
n13	n207	50.0	10	452	15
n13	n159	54.5	11	452	15
n13	n92	22.9	175	452	15
n13	n156	38.9	18	452	15
n13	n174	83.3	6	452	15
n13	n115	31.8	22	452	15
n13	n204	34.5	29	452	15
n13	n96	33.3	15	452	15
n13	n99	28.6	28	590	15
n13	n83	40.9	22	590	15
n13	n123	33.3	24	590	15
n13	n196	33.3	18	590	15
n13	n123	28.6	28	590	15
n13	n98	25.0	32	590	15
n13	n112	31.0	29	590	15
n13	n203	31.0	29	590	15
n13	n109	55.6	9	590	15
n13	n63	66.7	6	590	15
n13	n193	57.1	7	590	15
n13	n186	57.1	7	590	15
n13	n173	40.0	15	590	15
n13	n212	41.7	12	590	15
n13	n206	37.5	16	590	15
n13	n128	34.6	26	590	15
n13	n195	27.6	58	590	15
n13	n60	55.6	9	590	15
n13	n131	50.0	12	771	15
n13	n110	66.7	6	771	15
n13	n190	40.0	15	771	15
n13	n66	36.8	19	771	15
n13	n165	25.8	31	771	15
n13	n182	39.1	23	771	15
n13	n109	50.0	12	771	15
n13	n103	36.8	19	771	15
n13	n165	18.0	50	771	15
n13	n159	80.0	5	771	15
n13	n104	60.0	10	771	15
n2	n2	100.0	259	1.74e-151	525
n2	n54	98.5	259	1.62e-149	518
n2	n62	69.3	257	2.08e-104	369
n2	n53	69.5	259	3.55e-104	368
n2	n52	68.5	260	6.05e-104	367
n2	n81	67.7	257	4.33e-102	361
n2	n16	67.8	264	3.11e-100	355
n2	n78	66.2	260	4.06e-100	354
n2	n24	65.6	259	6.92e-100	354
n2	n30	64.8	264	5.86e-99	351
n2	n11	64.8	264	5.86e-99	351
n2	n13	64.8	264	7.65e-99	350
n2	n26	64.6	263	2.23e-98	349
n2	n6	64.7	258	2.23e-98	349
n2	n46	64.6	263	2.23e-98	349
n2	n44	64.6	263	2.23e-98	349
n2	n15	64.6	263	2.23e-98	349
n2	n80	64.6	263	2.91e-98	348
n2	n29	64.6	263	6.48e-98	347
n2	n72	64.9	262	1.88e-97	346
n2	n8	64.3	263	1.88e-97	346
n2	n12	64.0	264	3.21e-97	345
n2	n31	64.0	264	3.21e-97	345
n2	n25	63.9	263	9.35e-97	343
n2	n45	63.9	263	1.22e-96	343
n2	n14	63.9	263	1.22e-96	343
n2	n27	64.3	263	1.6e-96	342
n2	n22	64.3	263	1.6e-96	342
n2	n10	63.6	264	1.76e-95	339
n2	n64	62.2	254	8.75e-95	337
n2	n23	62.7	263	3.33e-94	335
n2	n5	62.1	261	1.26e-93	333
n2	n9	62.2	259	6.27e-93	330
n2	n56	63.1	260	4.07e-92	328
n2	n57	63.1	260	6.94e-92	327
n2	n74	60.8	263	4.5e-91	324
n2	n55	62.3	260	5.87e-91	324
n2	n87	63.1	255	1e-90	323
n2	n73	60.1	258	3.22e-89	318
n2	n28	56.5	255	1.11e-81	293
n2	n32	51.9	258	7.95e-80	287
n2	n33	54.7	258	1.66e-77	279
n2	n18	50.7	272	9.1e-76	273
n2	n34	52.7	258	1.01e-74	270
n2	n42	49.1	271	3.82e-74	268
n2	n58	52.7	260	6.1e-72	261
n2	n83	52.5	259	1.15e-70	257
n2	n69	50.8	256	1.5e-70	256
n2	n47	48.9	266	5.71e-70	254
n2	n21	48.9	266	5.71e-70	254
n2	n70	48.3	269	1.66e-69	253
n2	n4	48.5	272	8.25e-69	250
n2	n51	47.6	267	1.84e-68	249
n2	n68	48.9	272	3.14e-68	248
n2	n76	48.1	270	5.35e-68	248
n2	n7	47.6	269	5.91e-67	244
n2	n66	48.3	267	1.72e-66	243
n2	n1	47.7	264	3.83e-66	242
n2	n19	46.7	270	1.46e-65	240
n2	n77	46.3	270	2.48e-65	239
n2	n36	46.4	267	4.24e-65	238
n2	n61	45.9	266	9.44e-65	237
n2	n59	44.5	265	6.76e-63	231
n2	n41	46.9	277	6.76e-63	231
n2	n86	45.3	265	8.84e-63	230
n2	n75	45.6	259	2.57e-62	229
n2	n60	44.3	271	8.27e-61	224
n2	n20	44.2	269	8.27e-61	224
n2	n71	43.0	265	1.41e-60	223
n2	n88	44.6	267	4.54e-59	218
n2	n89	40.8	284	4.25e-57	211
n2	n43	40.5	262	1.32e-50	190
n2	n82	33.2	247	2.12e-32	129
n2	n67	32.9	249	3.62e-32	129
n2	n50	31.7	243	2.87e-29	119
n2	n79	30.6	258	2.69e-27	112
n2	n63	28.8	236	4.29e-25	105
n2	n40	31.2	215	2.78e-24	102
n2	n38	28.8	184	6.86e-15	71
n2	n90	26.8	246	6.01e-11	58
n2	n134	27.3	121	1.64e-08	50
n2	n108	28.5	165	0.00011	37
n2	n190	21.7	217	0.000545	35
n2	n85	26.5	132	0.00159	33
n2	n97	31.3	131	0.00159	33
n2	n65	25.7	113	0.00461	32
n2	n110	29.5	112	0.00787	31
n2	n125	28.2	124	0.00787	31
n2	n96	26.5	102	0.0103	31
n2	n103	26.0	100	0.0103	31
n2	n120	20.8	154	0.0134	30
n2	n85	21.4	70	0.0175	30
n2	n49	25.2	127	0.039	29
n2	n102	26.2	214	0.039	29
n2	n105	26.9	78	0.039	29
n2	n39	23.9	71	0.087	28
n2	n142	24.5	151	0.194	27
n2	n144	23.4	188	0.194	27
n2	n163	24.1	112	0.331	26
n2	n200	27.0	141	0.331	26
n2	n136	36.4	44	0.331	26
n2	n127	24.2	153	0.432	25
n2	n182	22.2	194	0.564	25
n2	n115	61.5	13	0.962	24
n2	n116	61.5	13	0.962	24
n2	n113	26.8	82	1.26	24
n2	n208	23.8	101	1.26	24
n2	n187	25.3	162	1.26	24
n2	n164	27.7	83	1.64	23
n2	n188	25.3	162	1.64	23
n2	n39	20.2	129	2.14	23
n2	n161	30.8	52	2.14	23
n2	n123	25.9	139	2.14	23
n2	n124	28.2	39	2.8	23
