node_id	sequence_md5	identifier	identifier_all	accession	accession_all	enzyme_name	enzyme_name_all	organism	pazy_id	pazy_id_all	sequence_length	n_source_rows	v1_component	cath
v045	d357a79e14b6376e4d3557864252bfe8			Q47RJ7_THEFY	Q47RJ7_THEFY	WSH03-11; Tfu_0882	WSH03-11; Tfu_0882	Thermobifida fusca YX			319	1	1	3.40.50.1820
v046	a0445e5a5b156ccfedc088c49acfd84a			Q6A0I4	Q6A0I4	BTA-1; TfH	BTA-1; TfH	Thermobifida fusca DSM43793			301	1	1	3.40.50.1820
v047	a9bad1df9172c94be6b225bd32b6bd1d			Q8RR62	Q8RR62	CtPL; Enzyme 504	CtPL; Enzyme 504	Caldimonas taiwanensis+D57			304	1	1	3.40.50.1820
v048	c0173ba184ddb729e7ef9122ecff0145			RGD93181	RGD93181	HG-3	HG-3	Clostridiales bacterium AM23-16LB			270	1	1	3.40.50.1820
v049	71d88f44c8ddca8715a62d0d30305df5			RLI42440.1	RLI42440.1	PET46	PET46	Candidatus Bathyarchaeota archaeon			262	1	1	3.40.50.1820
v050	14a5c3e1584a0ee2518f18810a7fed98			RLT92980.1	RLT92980.1	Enzyme 403	Enzyme 403	Ketobacter sp.			269	1	1	3.40.50.1820
v051	1545cf731ea10ee62b256807199e37d8			RLU00646.1	RLU00646.1	RgCut-II	RgCut-II	Rhizobacter gummiphilus			312	1	1	3.40.50.1820
v052	00855c73c087597a6c69fa2b114d731e			SAY37579.1	SAY37579.1	PHL-11	PHL-11	Compost metagenome			260	1	1	3.40.50.1820
v053	925eaa1d8c145880ff409530b973e7fe			SAY37582.1	SAY37582.1	PHL-21	PHL-21	Compost metagenome			260	1	1	3.40.50.1820
v054	e6c1800b97f5f0184a1dd73540deb95a			SAY37583.1	SAY37583.1	PHL-31	PHL-31	Compost metagenome			259	1	1	3.40.50.1820
v055	aaa9786d473a7eb02349e757ab50352c			SAY37584.1	SAY37584.1	PHL-41	PHL-41	Compost metagenome			257	1	1	3.40.50.1820
