n9	n29	53.4	1.06e-85	320
n9	n23	56.0	1.06e-85	320
n9	n80	54.9	3.09e-85	319
n9	n78	57.0	3.09e-85	319
n9	n11	59.7	1.18e-84	317
n9	n30	59.7	1.18e-84	317
n9	n26	59.7	1.54e-84	317
n9	n74	57.2	2.62e-84	316
n9	n73	55.2	3.42e-84	315
n9	n8	59.5	5.83e-84	315
n9	n45	53.5	9.95e-84	314
n9	n14	53.5	9.95e-84	314
n9	n25	55.3	9.95e-84	314
n9	n16	58.9	2.9e-83	312
n9	n13	58.9	3.78e-83	312
n9	n24	52.8	1.88e-82	310
n9	n31	59.3	9.32e-82	307
n9	n12	59.3	9.32e-82	307
n9	n56	59.3	1.22e-81	307
n9	n10	58.6	3.54e-81	305
n9	n57	58.1	1.76e-80	303
n9	n55	57.8	6.68e-80	301
n9	n28	55.0	1.07e-77	294
n9	n34	53.4	1.44e-74	283
n9	n32	49.8	5.47e-74	282
n9	n83	48.1	2.08e-65	253
n9	n47	47.9	1.03e-64	251
n9	n21	47.9	1.03e-64	251
n28	n28	100.0	1.83e-161	572
n28	n87	67.2	1.09e-97	360
n28	n72	57.2	7.34e-86	321
n28	n81	56.3	6.21e-85	318
n28	n6	55.1	3.77e-82	309
n28	n62	59.1	1.1e-81	307
n28	n52	58.4	3.19e-81	305
n28	n25	54.3	1.21e-80	304
n28	n29	54.3	1.21e-80	304
n28	n27	52.8	1.58e-80	303
n28	n22	52.8	1.58e-80	303
n28	n16	59.1	1.58e-80	303
n28	n14	54.3	1.58e-80	303
n28	n45	54.3	1.58e-80	303
n28	n46	54.3	2.7e-80	302
n28	n44	54.3	2.7e-80	302
n28	n15	54.3	2.7e-80	302
n28	n80	54.3	7.86e-80	301
n28	n53	56.5	2.99e-79	299
n28	n54	57.0	5.1e-79	298
n28	n12	56.0	6.65e-79	298
n28	n31	56.0	6.65e-79	298
n28	n11	56.0	1.14e-78	297
n28	n30	56.0	1.14e-78	297
n28	n26	56.0	1.48e-78	297
n28	n13	56.0	3.3e-78	295
n28	n23	52.5	5.63e-78	295
n28	n74	51.8	5.63e-78	295
n28	n8	55.6	7.36e-78	294
n28	n9	55.0	9.61e-78	294
n28	n2	56.5	1.64e-77	293
n28	n64	56.2	2.8e-77	292
n28	n78	50.9	1.17e-75	287
n28	n10	55.1	1.53e-75	287
n28	n24	49.5	1.1e-73	280
n28	n56	54.5	1.03e-71	274
n28	n73	47.5	7.37e-70	268
n28	n32	47.7	3.79e-66	255
